"order","item","participant","cont_pred1","cont_pred2","binary_pred","out"
1,8,1,0.40300136091651,0.270938242947681,1,0.080139654353771
2,3,1,-0.175716240631132,1.47360364194276,1,0
3,6,1,-1.58359328328092,1.06171035683079,0,0.140708214686623
4,18,1,-1.17085785036508,0.820317211774339,1,0.0165064997984981
5,58,1,0.942324960736804,-1.5294115474892,1,1
6,38,1,-1.97089709250863,0.150576066033558,1,0.336503376479531
7,36,1,1.00824043927434,-0.0375127479912517,0,0
8,27,1,0.286196580993844,-0.765067707579135,1,0.334964182726524
9,20,1,0.155211825847918,1.89233573781154,1,0.0209782788497043
10,13,1,0.307312434398178,-0.171457830268685,0,0.107502554983291
11,5,1,0.618379846705174,-0.0423871818406596,1,0.153353778726732
12,16,1,0.432676346405362,1.52261801624482,0,0.0163293583338798
1,9,1,1.17564332967584,0.158863722379652,1,1
2,17,1,0.0142874872099774,-0.238909209273627,0,0.0926899251596503
3,35,1,-0.508420977076426,0.689367138431736,1,0
4,30,1,-0.717312155617608,-1.49043434417528,0,0.104257248798089
5,15,1,-0.720623910492693,0.787261994094317,1,0.0336317490527544
6,25,1,0.887617420984618,0.696450442004003,0,0.154841197803823
7,39,1,2.10406364677133,-1.23362533624399,1,0
8,28,1,0.707083850554539,1.03859029154734,0,0.0123107276060795
9,57,1,0.307097355948839,0.626555634382309,0,0
10,41,1,0.602825396511831,1.00309832933272,0,0
11,47,1,-0.18181999827154,-0.114337188170103,1,0.240285810950965
12,32,1,0.316824945828627,-1.86064389865379,0,0.459120805150977
1,19,1,-1.14352273176198,-0.457521483075668,1,0
2,24,1,-0.735944385795487,-0.863225019022501,1,0.201966202145995
3,21,1,-1.06131723145427,0.768531312617758,0,0.0268431834007856
4,53,1,-0.812812447161392,-1.29469347878204,1,0
5,60,1,0.464911207444314,-2.15478375867912,1,0.186067865127404
6,54,1,-0.745254366420313,-0.0992555139487062,1,0.101956530194515
7,43,1,0.427557772886761,-0.310232332484357,0,0.273004887647402
8,50,1,0.19984167621765,0.414682868952613,0,0
9,1,1,-0.039395299811363,-2.37262587130294,0,0.326817358236679
10,7,1,0.62339466612564,-1.37222426091813,0,0.126993051482894
11,45,1,-0.0311900706797976,-0.531073904998701,1,0.0962711405280936
12,12,1,0.595475130773446,-0.529795863372569,0,0
1,37,1,-1.7653593366927,-0.871745945977163,0,0.0717817082313805
2,33,1,-0.0640371722965946,0.0557645372357564,1,0
3,34,1,-0.749163313155992,0.167169290870969,1,0
4,59,1,1.31423186888189,1.16466106730847,1,0.0952280113206631
5,52,1,-1.10989563801298,0.80276913293809,0,1
6,48,1,-1.32622613369781,0.144859705074135,1,0.0699023024208782
7,26,1,0.147661558030823,-0.699039552852171,0,0.214362289661485
8,49,1,0.691194133117785,0.86660606701083,0,0.0974369569929518
9,10,1,0.569097394527345,0.0904974475010989,0,0.0814492817911669
10,2,1,0.577252675353272,-3.16923261744249,1,0
11,42,1,-0.0257879078363873,-0.996045804169631,0,0.13395781701591
12,44,1,-0.213426748985104,-0.918174247662782,0,0.345194562530518
1,14,1,-0.261630378967815,-1.68893685886882,0,0.285235939612416
2,22,1,0.669117776420376,-2.03272898764437,1,0.303512871411903
3,4,1,-1.01110218182029,0.140071538075906,1,0
4,40,1,2.33117908992434,0.170215891899777,1,0
5,56,1,-2.51347667865817,-1.41383936925974,0,0.338720720754353
6,51,1,-0.903678177374935,-1.66957469552209,1,0.15747157263661
7,46,1,1.10821356139417,1.74116703983009,0,0.0196694377250566
8,31,1,0.210122852457812,-0.0695713408922523,0,0.0439395149356413
9,23,1,-1.29514058730818,-0.222189998396333,1,0.409610486549208
10,55,1,0.787901287333477,0.507316411415677,0,0.0284996102866061
11,29,1,-0.314206827565423,-0.483273639761451,1,0
12,11,1,1.57579430931101,1.57511384758787,1,0.02329651155134
1,38,2,-1.37985286354968,0.441416692895756,1,0.443352462222809
2,60,2,0.454013731670623,-0.321818631597082,1,0.103366024004546
